Player,Position,League,MarketValue,ProgressivePasses,Tackles,Interceptions,xG,Age
Erling Haaland,Forward,Premier League,81.26,1.38,0.46,0.34,0.73,25
Kylian Mbappe,Forward,La Liga,75.12,0.6,0.31,0.12,0.68,25
Harry Kane,Forward,Bundesliga,127.03,0.98,0.21,0.12,0.75,18
Mohamed Salah,Forward,Premier League,122.39,1.19,0.38,0.26,0.76,30
Vinicius Jr,Forward,La Liga,51.46,1.35,0.49,0.42,0.6,34
Kevin De Bruyne,Midfielder,Premier League,124.48,4.74,1.45,0.58,0.24,28
Rodri,Midfielder,Premier League,64.25,1.46,3.03,2.29,0.14,29
Martin Odegaard,Midfielder,Premier League,101.08,4.47,1.49,1.03,0.26,23
Jude Bellingham,Midfielder,La Liga,114.56,1.46,2.97,2.33,0.09,19
Declan Rice,Midfielder,Premier League,126.72,2.09,2.64,2.09,0.09,21
Toni Kroos,Midfielder,La Liga,103.35,4.04,1.16,1.48,0.16,34
Pedri,Midfielder,La Liga,131.98,3.68,1.49,1.0,0.11,31
Virgil van Dijk,Defender,Premier League,64.69,3.05,2.42,2.28,0.08,24
William Saliba,Defender,Premier League,115.28,2.13,2.02,1.96,0.03,23
Ruben Dias,Defender,Premier League,65.5,2.06,2.08,2.79,0.09,32
Kyle Walker,Defender,Premier League,104.8,3.06,3.3,2.85,0.09,29
Achraf Hakimi,Defender,Ligue 1,68.07,3.06,3.03,2.9,0.02,31
Alphonso Davies,Defender,Bundesliga,63.43,2.7,2.64,1.83,0.08,26
Alisson Becker,Goalkeeper,Premier League,136.02,1.32,3.19,2.79,0.02,17
Thibaut Courtois,Goalkeeper,La Liga,67.03,1.46,4.43,2.5,0.16,21
Ederson,Goalkeeper,Premier League,98.41,4.58,0.82,1.27,0.29,17
Leo Santos,Defender,Serie A,12.01,0.6,0.47,0.2,0.56,23
Diego Costa,Defender,Serie A,3.57,0.55,0.07,0.07,0.35,27
Leo Rodriguez,Forward,Serie A,29.45,1.27,-0.04,0.11,0.49,26
Diego Fernandez,Midfielder,Serie A,6.53,1.27,2.22,0.86,0.09,27
Enzo Martinez,Defender,Ligue 1,11.09,1.07,1.85,3.36,0.1,33
Mateo Diaz,Goalkeeper,Serie A,25.62,0.22,0.19,0.19,0.3,27
Julian Martinez,Midfielder,Bundesliga,16.21,1.77,1.16,1.24,0.09,27
Enzo Martinez,Forward,Bundesliga,37.11,2.02,1.47,1.0,0.07,19
Gabriel Silva,Forward,Serie A,2.62,2.05,0.42,1.12,0.07,19
Julian Santos,Midfielder,Serie A,2.37,1.83,-0.19,0.4,0.12,25
Leo Lopez,Forward,Serie A,27.45,0.83,0.31,0.16,0.68,19
Leo Rodriguez,Defender,Premier League,34.24,1.3,2.0,2.85,0.04,17
Lucas Fernandez,Goalkeeper,Serie A,5.15,2.52,1.7,2.02,0.01,32
Hugo Lopez,Midfielder,La Liga,13.21,1.25,0.39,0.35,0.45,33
Lucas Martinez,Goalkeeper,Serie A,26.84,0.13,4.94,3.85,0.04,31
Diego Fernandez,Forward,Ligue 1,36.95,3.26,-0.27,1.47,0.02,34
Diego Fernandez,Forward,Serie A,11.51,1.25,3.08,3.17,0.09,30
Enzo Costa,Midfielder,Premier League,8.19,2.3,2.96,3.67,0.05,17
Lucas Lopez,Defender,Bundesliga,11.78,0.61,1.31,3.39,0.05,20
Mateo Martinez,Defender,Serie A,22.46,2.29,3.92,1.15,0.08,30
Enzo Silva,Forward,Premier League,13.16,1.79,2.31,1.24,0.15,19
Santi Santos,Forward,Ligue 1,2.99,3.99,1.29,2.35,0.12,17
Leo Silva,Midfielder,Ligue 1,26.92,2.17,0.17,0.14,0.38,23
Julian Diaz,Goalkeeper,Serie A,0.66,1.57,0.12,0.18,0.68,34
Marco Fernandez,Forward,Premier League,38.38,-0.03,1.93,2.01,0.02,22
Santi Diaz,Forward,Ligue 1,18.46,3.19,1.09,0.66,0.07,24
Enzo Santos,Goalkeeper,La Liga,33.09,1.78,1.55,0.92,0.13,28
Mateo Garcia,Forward,Ligue 1,14.29,2.64,2.53,0.75,0.13,26
Hugo Diaz,Forward,Serie A,12.71,1.68,0.16,0.1,0.45,19
Hugo Lopez,Midfielder,Premier League,24.54,1.41,0.25,0.19,0.48,27
Hugo Lopez,Forward,Ligue 1,14.5,1.75,2.35,0.78,0.05,18
