Player,Age,Position,League,MarketValue,scaled_ProgressivePasses,scaled_Tackles,scaled_Interceptions,scaled_xG,Role_ID,TacticalRole
Erling Haaland,25,Forward,Premier League,81.26,-0.2678367976040928,-0.9794419405556676,-0.9552525501441516,3.449640363795061,1,Deep Lying Playmaker
Kylian Mbappe,25,Forward,La Liga,75.12,-1.0531638486949593,-1.111906363135552,-1.1819722526402283,3.1514761780155127,1,Deep Lying Playmaker
Harry Kane,18,Forward,Bundesliga,127.03,-0.670568618676332,-1.2002159781888089,-1.1819722526402283,3.56890603810688,1,Deep Lying Playmaker
Mohamed Salah,30,Forward,Premier League,122.39,-0.4591344126134064,-1.0500896325982725,-1.0376960783245432,3.6285388752627896,1,Deep Lying Playmaker
Vinicius Jr,34,Forward,La Liga,51.46,-0.2980416841845106,-0.9529490560396904,-0.8728090219637602,2.674413480768236,1,Deep Lying Playmaker
Kevin De Bruyne,28,Midfielder,Premier League,124.48,3.115110499402717,-0.1051767515284284,-0.707921965602977,0.5276313431554883,3,Ball Playing Defender
Rodri,29,Midfielder,Premier League,64.25,-0.1872904333896449,1.2901151663130237,1.0543084492528922,-0.0686970284036079,0,Ball Winning Midfielder
Martin Odegaard,23,Midfielder,Premier League,101.08,2.8432665201789558,-0.0698529055071258,-0.2441771195882745,0.6468970174673077,3,Ball Playing Defender
Jude Bellingham,19,Midfielder,La Liga,114.56,-0.1872904333896449,1.23712939728107,1.095530213343088,-0.3668612141831562,0,Ball Winning Midfielder
Declan Rice,21,Midfielder,Premier League,126.72,0.4470121847991317,0.9457076676053237,0.8481996288019131,-0.3668612141831562,0,Ball Winning Midfielder
Toni Kroos,34,Midfielder,La Liga,103.35,2.410329812526298,-0.3612746351828722,0.2195677264264278,0.0505686459082113,3,Ball Playing Defender
Pedri,31,Midfielder,La Liga,131.98,2.047871173561283,-0.0698529055071258,-0.2750934426559214,-0.2475955398713369,3,Ball Playing Defender
Virgil van Dijk,24,Defender,Premier League,64.69,1.413568555372506,0.7514265144881592,1.044003008230343,-0.4264940513390658,3,Ball Playing Defender
William Saliba,23,Defender,Premier League,115.28,0.4872853669063557,0.3981880542751335,0.714228895508777,-0.724658237118614,0,Ball Winning Midfielder
Ruben Dias,32,Defender,Premier League,65.5,0.416807298218714,0.4511738233070874,1.5695805003803394,-0.3668612141831562,0,Ball Winning Midfielder
Kyle Walker,29,Defender,Premier League,104.8,1.423636850899312,1.528551126956816,1.631413146515633,-0.3668612141831562,0,Ball Winning Midfielder
Achraf Hakimi,31,Defender,Ligue 1,68.07,1.423636850899312,1.2901151663130237,1.6829403516283776,-0.7842910742745237,0,Ball Winning Midfielder
Alphonso Davies,26,Defender,Bundesliga,63.43,1.061178211934297,0.9457076676053237,0.5802581622156409,-0.4264940513390658,0,Ball Winning Midfielder
Alisson Becker,17,Goalkeeper,Premier League,136.02,-0.3282465707649286,1.431410550398234,1.5695805003803394,-0.7842910742745237,0,Ball Winning Midfielder
Thibaut Courtois,21,Goalkeeper,La Liga,67.03,-0.1872904333896449,2.5264497770586143,1.2707227107264198,0.0505686459082113,0,Ball Winning Midfielder
Ederson,17,Goalkeeper,Premier League,98.41,2.954017770973821,-0.6615273263639442,0.0031534649529,0.8257955289350365,3,Ball Playing Defender
Leo Santos,23,Defender,Serie A,12.01,-1.0531638486949593,-0.9706109790503418,-1.0995287244598368,2.4358821321445974,1,Deep Lying Playmaker
Diego Costa,27,Defender,Serie A,3.57,-1.1035053263289891,-1.3238494392633675,-1.233499457752973,1.1835925518704942,1,Deep Lying Playmaker
Leo Rodriguez,26,Forward,Serie A,29.45,-0.3785880483989585,-1.4209900158219495,-1.1922776936627772,2.0184522720532296,1,Deep Lying Playmaker
Diego Fernandez,27,Midfielder,Serie A,6.53,-0.3785880483989585,0.5748072843816465,-0.4193696169716066,-0.3668612141831562,2,Clinical Finisher
Enzo Martinez,33,Defender,Ligue 1,11.09,-0.5799539589350781,0.2480617086845975,2.156990638665629,-0.3072283770272465,0,Ball Winning Midfielder
Mateo Diaz,27,Goalkeeper,Serie A,25.62,-1.4357590787135863,-1.2178779011994598,-1.1098341654823858,0.8854283660909461,1,Deep Lying Playmaker
Julian Martinez,27,Midfielder,Bundesliga,16.21,0.1248267279413405,-0.3612746351828722,-0.0277628581147468,-0.3668612141831562,2,Clinical Finisher
Enzo Martinez,19,Forward,Bundesliga,37.11,0.37653411611149,-0.0875148285177771,-0.2750934426559214,-0.4861268884949754,2,Clinical Finisher
Gabriel Silva,19,Forward,Serie A,2.62,0.4067390026919078,-1.01476578657697,-0.151428150385334,-0.4861268884949754,2,Clinical Finisher
Julian Santos,25,Midfielder,Serie A,2.37,0.1852365011021764,-1.5534544384018345,-0.893419904008858,-0.1879627027154273,2,Clinical Finisher
Leo Lopez,19,Forward,Serie A,27.45,-0.8215930515784218,-1.111906363135552,-1.1407504885500326,3.1514761780155127,1,Deep Lying Playmaker
Leo Rodriguez,17,Defender,Premier League,34.24,-0.3483831618185405,0.3805261312644821,1.631413146515633,-0.6650253999627043,0,Ball Winning Midfielder
Lucas Fernandez,32,Goalkeeper,Serie A,5.15,0.8799488924517891,0.1155972861047127,0.7760615416440707,-0.8439239114304332,3,Ball Playing Defender
Hugo Lopez,33,Midfielder,La Liga,13.21,-0.3987246394525705,-1.041258671092947,-0.9449471091216028,1.7799209234295907,1,Deep Lying Playmaker
Lucas Martinez,31,Goalkeeper,Serie A,26.84,-1.5263737384548404,2.9768288138302226,2.6619572487705274,-0.6650253999627043,0,Ball Winning Midfielder
Diego Fernandez,34,Forward,Ligue 1,36.95,1.6250027614354314,-1.6241021304444396,0.2092622854038788,-0.7842910742745237,3,Ball Playing Defender
