Player,Age,Position,League,MarketValue,scaled_ProgressivePasses,scaled_Tackles,scaled_Interceptions,scaled_xG
Erling Haaland,25,Forward,Premier League,81.26,-0.26783679760409285,-0.9794419405556675,-0.9552525501441516,3.449640363795061
Kylian Mbappe,25,Forward,La Liga,75.12,-1.0531638486949593,-1.1119063631355521,-1.1819722526402283,3.1514761780155127
Harry Kane,18,Forward,Bundesliga,127.03,-0.670568618676332,-1.2002159781888087,-1.1819722526402283,3.56890603810688
Mohamed Salah,30,Forward,Premier League,122.39,-0.45913441261340643,-1.0500896325982725,-1.0376960783245432,3.6285388752627896
Vinicius Jr,34,Forward,La Liga,51.46,-0.2980416841845106,-0.9529490560396905,-0.8728090219637602,2.6744134807682354
Kevin De Bruyne,28,Midfielder,Premier League,124.48,3.115110499402717,-0.10517675152842844,-0.707921965602977,0.5276313431554883
Rodri,29,Midfielder,Premier League,64.25,-0.18729043338964493,1.2901151663130235,1.0543084492528922,-0.06869702840360792
Martin Odegaard,23,Midfielder,Premier League,101.08,2.8432665201789553,-0.06985290550712582,-0.24417711958827457,0.6468970174673077
Jude Bellingham,19,Midfielder,La Liga,114.56,-0.18729043338964493,1.23712939728107,1.095530213343088,-0.3668612141831562
Declan Rice,21,Midfielder,Premier League,126.72,0.44701218479913174,0.9457076676053237,0.8481996288019131,-0.3668612141831562
Toni Kroos,34,Midfielder,La Liga,103.35,2.410329812526298,-0.36127463518287223,0.2195677264264278,0.0505686459082113
Pedri,31,Midfielder,La Liga,131.98,2.047871173561283,-0.06985290550712582,-0.27509344265592145,-0.2475955398713369
Virgil van Dijk,24,Defender,Premier League,64.69,1.413568555372506,0.7514265144881592,1.044003008230343,-0.4264940513390658
William Saliba,23,Defender,Premier League,115.28,0.4872853669063557,0.3981880542751335,0.714228895508777,-0.724658237118614
Ruben Dias,32,Defender,Premier League,65.5,0.41680729821871404,0.4511738233070874,1.5695805003803394,-0.3668612141831562
Kyle Walker,29,Defender,Premier League,104.8,1.423636850899312,1.528551126956816,1.631413146515633,-0.3668612141831562
Achraf Hakimi,31,Defender,Ligue 1,68.07,1.423636850899312,1.2901151663130235,1.6829403516283776,-0.7842910742745237
Alphonso Davies,26,Defender,Bundesliga,63.43,1.061178211934297,0.9457076676053237,0.5802581622156409,-0.4264940513390658
Alisson Becker,17,Goalkeeper,Premier League,136.02,-0.3282465707649286,1.431410550398234,1.5695805003803394,-0.7842910742745237
Thibaut Courtois,21,Goalkeeper,La Liga,67.03,-0.18729043338964493,2.5264497770586143,1.2707227107264198,0.0505686459082113
Ederson,17,Goalkeeper,Premier League,98.41,2.954017770973821,-0.6615273263639442,0.003153464952900041,0.8257955289350365
Leo Santos,23,Defender,Serie A,12.01,-1.0531638486949593,-0.9706109790503418,-1.0995287244598368,2.4358821321445974
Diego Costa,27,Defender,Serie A,3.57,-1.1035053263289891,-1.3238494392633675,-1.233499457752973,1.1835925518704942
Leo Rodriguez,26,Forward,Serie A,29.45,-0.37858804839895854,-1.4209900158219497,-1.1922776936627772,2.0184522720532296
Diego Fernandez,27,Midfielder,Serie A,6.53,-0.37858804839895854,0.5748072843816465,-0.41936961697160663,-0.3668612141831562
Enzo Martinez,33,Defender,Ligue 1,11.09,-0.5799539589350781,0.24806170868459754,2.156990638665629,-0.30722837702724654
Mateo Diaz,27,Goalkeeper,Serie A,25.62,-1.4357590787135865,-1.2178779011994598,-1.1098341654823858,0.8854283660909461
Julian Martinez,27,Midfielder,Bundesliga,16.21,0.12482672794134053,-0.36127463518287223,-0.027762858114746814,-0.3668612141831562
Enzo Martinez,19,Forward,Bundesliga,37.11,0.37653411611149007,-0.08751482851777713,-0.27509344265592145,-0.48612688849497543
Gabriel Silva,19,Forward,Serie A,2.62,0.4067390026919078,-1.0147657865769701,-0.151428150385334,-0.48612688849497543
Julian Santos,25,Midfielder,Serie A,2.37,0.18523650110217646,-1.5534544384018343,-0.893419904008858,-0.1879627027154273
Leo Lopez,19,Forward,Serie A,27.45,-0.8215930515784218,-1.1119063631355521,-1.1407504885500326,3.1514761780155127
Leo Rodriguez,17,Defender,Premier League,34.24,-0.34838316181854057,0.38052613126448215,1.631413146515633,-0.6650253999627043
Lucas Fernandez,32,Goalkeeper,Serie A,5.15,0.8799488924517891,0.11559728610471273,0.7760615416440707,-0.8439239114304332
Hugo Lopez,33,Midfielder,La Liga,13.21,-0.3987246394525705,-1.041258671092947,-0.9449471091216027,1.7799209234295907
Lucas Martinez,31,Goalkeeper,Serie A,26.84,-1.5263737384548404,2.9768288138302226,2.6619572487705274,-0.6650253999627043
Diego Fernandez,34,Forward,Ligue 1,36.95,1.6250027614354314,-1.6241021304444396,0.20926228540387884,-0.7842910742745237
Diego Fernandez,30,Forward,Serie A,11.51,-0.3987246394525705,1.334269973839652,1.961187259237199,-0.3668612141831562
Enzo Costa,17,Midfielder,Premier League,8.19,0.6584463908620574,1.2282984357757443,2.476459310364646,-0.6053925628067948
Lucas Lopez,20,Defender,Bundesliga,11.78,-1.0430955531681534,-0.2288102126029874,2.187906961733276,-0.6053925628067948
Mateo Martinez,30,Defender,Serie A,22.46,0.6483780953352516,2.0760707402870064,-0.12051182731768738,-0.4264940513390658
Enzo Silva,19,Forward,Premier League,13.16,0.14496331899495252,0.6542859379295772,-0.027762858114746814,-0.009064191247698392
Santi Santos,17,Forward,Ligue 1,2.99,2.3599883348922686,-0.2464721356136387,1.1161410953881858,-0.1879627027154273
Leo Silva,23,Midfielder,Ligue 1,26.92,0.5275585490135797,-1.2355398242101112,-1.1613613705951304,1.3624910633382232
Julian Diaz,34,Goalkeeper,Serie A,0.66,-0.07653918259477904,-1.2796946317367395,-1.1201396065049347,3.1514761780155127
Marco Fernandez,22,Forward,Premier League,38.38,-1.687466466883736,0.31870940072720255,0.7657561006215216,-0.7842910742745237
Santi Diaz,24,Forward,Ligue 1,18.46,1.5545246927477898,-0.4230913657201516,-0.6254784374225855,-0.48612688849497543
Enzo Santos,28,Goalkeeper,La Liga,33.09,0.13489502346814652,-0.016867136475171893,-0.3575369708363129,-0.12832986555951761
Mateo Garcia,26,Forward,Ligue 1,14.29,1.000768438773461,0.8485670910467412,-0.532729468219645,-0.12832986555951761
Hugo Diaz,19,Forward,Serie A,12.71,0.03421206820008662,-1.244370785715437,-1.2025831346853262,1.7799209234295907
Hugo Lopez,27,Midfielder,Premier League,24.54,-0.23763191102367487,-1.1648921321675059,-1.1098341654823858,1.9588194348973198
